2016/02/26,01:40:07.516Z,Where is Jude law he could buy a Greek island and place all these migrants and call it Jude's island,Dallas United States,8,8,EU&#x26;#8217;s migration system is ten days from 'completely breaking down'
2016/02/26,01:39:46.379Z,Everyone was warned by "Tony Abbott" of Australia when he was Prime minister this was going to happen but nobody listened to him now who looks stupid? ,adelaide Australia,9,9,EU&#x26;#8217;s migration system is ten days from 'completely breaking down'
2016/02/26,01:33:38.956Z,A protected safe zone should be made in syria or turkey near the border for these people. They then get to stay together in their own culture and maybe just maybe all these young men might have the balls to fight for their country. Other economic migrant chancers should be sent straight back where they come from.,s shields,16,16,EU&#x26;#8217;s migration system is ten days from 'completely breaking down'
2016/02/26,01:31:57.249Z,How to lose friends and alienate Europe Merkel style. The fall of the Roman Empire through liberal decadence soon to be repeated again. The Romans don't exist anymore how long will the Europeans last with such a tolerated and instigated mass in v a sion,Warwick,16,16,EU&#x26;#8217;s migration system is ten days from 'completely breaking down'
2016/02/26,01:31:47.288Z,9...8....7.....6........,Massillon United States,7,7,EU&#x26;#8217;s migration system is ten days from 'completely breaking down'
2016/02/26,01:29:34.056Z,i could list the names of several British H&lt;A&gt;T&lt;E Pr.e.a.c.h.ers................ tell you a few scary facts about our new guest ...and that silly little book they all are forced to memorize......or simply state a few very troubling statistics about the countries where they have a population above 6 %........but i will let these pictures speak for themselves.......what possible benefit is it to us to have these images repeated all across EUrope....?,The Barn Christmas Island,7,9,EU&#x26;#8217;s migration system is ten days from 'completely breaking down'
2016/02/26,01:27:45.698Z,Cant they see it??? These are not the real refugees...! The real ones are still in the war zones fighting for their lives...!!! Get it..!?duhh???,Aberdeen United Kingdom,15,15,EU&#x26;#8217;s migration system is ten days from 'completely breaking down'
2016/02/26,01:24:07.524Z,"Big shoes run the show now" like they always did in Europe but after 1945 made sure the natives were diluted.,London,7,7,EU&#x26;#8217;s migration system is ten days from 'completely breaking down'
2016/02/26,01:22:40.390Z,Merkel has a lot to answer for letting so many past a million in undocumented... so many thousands are not refugees escaping war but economic migrants..we cannot take everyone in..has to be a limit....help the genuine families but why so many thousands of young men fleeing they are not from syria but turkey and different countries scary as they have no respect for women,Ireland Ireland,30,30,EU&#x26;#8217;s migration system is ten days from 'completely breaking down'
2016/02/26,01:20:07.917Z,Of course it is! It's a disaster. And our PM has done something wrong! He's sold us down the river!!,Manchester United Kingdom,28,30,EU&#x26;#8217;s migration system is ten days from 'completely breaking down'
2016/02/26,01:17:01.093Z,have you ever tried to bake a cake without instructions.....or ingredients.....?.........thats exactly what the EU is doing..............and telling us all the whole time how great its going to taste.................................the  truth is..............you cant make a cake out of a can of beans and some frosting.,The Barn Christmas Island,27,27,EU&#x26;#8217;s migration system is ten days from 'completely breaking down'
2016/02/26,01:16:43.588Z,There's no doubt about it attitudes have hardened and the people of Europe no longer sympathise or want these people. ,London United Kingdom,40,40,EU&#x26;#8217;s migration system is ten days from 'completely breaking down'
2016/02/26,01:14:58.276Z,Greece was happy when it was waving them on through on to Northern Europe and Germany and washing their hands of them probably even had a small chuckle about moving them on to the latter with the relationship of the two nations in recent years. Now they are being told to man their borders and tow the boats back to Turkey they are not too happy. Time to for Greece to step their game up and protect their border or they will now have to deal with the problem they are creating for themeselves no more waving the problem on into northern europe so easily.,not here United Kingdom,39,39,EU&#x26;#8217;s migration system is ten days from 'completely breaking down'
2016/02/26,01:11:28.134Z,Mad Merkel needs burning at the stake it's all this witch's fault,Cheshire United Kingdom,46,46,EU&#x26;#8217;s migration system is ten days from 'completely breaking down'
2016/02/26,01:11:05.208Z,There's no one to rise up no more the White wotking class has been decimated.,London,40,40,EU&#x26;#8217;s migration system is ten days from 'completely breaking down'
2016/02/26,01:07:46.729Z,They are all followers of Mahound. They will take over Europe if we do not fight back.,bath United Kingdom,44,44,EU&#x26;#8217;s migration system is ten days from 'completely breaking down'
2016/02/26,01:07:14.570Z,And some people in this country still want to vote to stay in this "Club"...Are you nuts???? ,Tunbridge Wells United Kingdom,57,57,EU&#x26;#8217;s migration system is ten days from 'completely breaking down'
2016/02/26,01:07:06.451Z,Keep them all out!  What can they offer the economy. The scrounge and claim every benefit they can and sit back and laugh in the faces of the European people.,London,45,45,EU&#x26;#8217;s migration system is ten days from 'completely breaking down'
2016/02/26,01:06:04.851Z,If greece wants to let them in then they must put them up otherwise people will call them a trojan horse and we wouldn't want that to happen as that would be a terrible slur implying they're actually facilitating it.,Edinburgh Scotland United Kingdom,21,23,EU&#x26;#8217;s migration system is ten days from 'completely breaking down'
